fips	Elevation	Incidence	weight	Cancer	plot_type	name	population	lung	smoking	elevation	education	black	no_lung
53033	0.09375	58.1	500	Lung	bivariate	King, WA	1739174	58.1	45.75	0.09375	45.2	6.5	422.6
53035	0.07513	63.8	481.631601953194	Lung	bivariate	Kitsap, WA	231969	63.8	50.95	0.07513	28	3.8	426
53037	0.63657	53.6	182.652675863235	Lung	bivariate	Kittitas, WA	33362	53.6	48.55	0.63657	31.9	1	341.8
53039	0.49813	46.1	138.423263940712	Lung	bivariate	Klickitat, WA	19161	46.1	52	0.49813	17.9	0.5	283.9
53041	0.19497	69.9	261.916017074176	Lung	bivariate	Lewis, WA	68600	69.9	53.05	0.19497	15	0.6	380.8
53043	0.6689	76	100.915806492343	Lung	bivariate	Lincoln, WA	10184	76	49.25	0.6689	20.3	0.6	322
53045	0.07554	84.6	222.272355456094	Lung	bivariate	Mason, WA	49405	84.6	57.1	0.07554	17.9	1.5	470
53047	0.63894	56.8	198.907013451009	Lung	bivariate	Okanogan, WA	39564	56.8	49	0.63894	17.7	0.5	384.1
53049	0.0765	70.7	150.439356552732	Lung	bivariate	Pacific, WA	22632	70.7	56.1	0.0765	16.8	0.4	315
53051	0.8434	66.2	108.314357312408	Lung	bivariate	Pend Oreille, WA	11732	66.2	55.35	0.8434	17.9	0.4	390.9
53053	0.10884	77.3	500	Lung	bivariate	Pierce, WA	700820	77.3	48.6	0.10884	23.4	8.6	444.3
53057	0.12677	69.5	325.339822339658	Lung	bivariate	Skagit, WA	105846	69.5	49.85	0.12677	23.2	0.7	440.3
53061	0.10887	73.1	500	Lung	bivariate	Snohomish, WA	606564	73.1	48.55	0.10887	28.2	2.3	444.5
53063	0.63886	69.6	500	Lung	bivariate	Spokane, WA	417939	69.6	54.15	0.63886	27.9	2.2	396.5
53065	0.72001	61.8	200.164931993594	Lung	bivariate	Stevens, WA	40066	61.8	53.3	0.72001	19.2	0.5	360.5
53067	0.0679	69.2	455.362492965769	Lung	bivariate	Thurston, WA	207355	69.2	51.5	0.0679	31.6	3.1	437.5
53071	0.29391	50	234.90423580685	Lung	bivariate	Walla Walla, WA	55180	50	44.1	0.29391	24.2	2	416.9
53073	0.09604	59.9	408.428696347355	Lung	bivariate	Whatcom, WA	166814	59.9	49.8	0.09604	31.7	1.1	467.6
53077	0.34955	62.6	471.784908618324	Lung	bivariate	Yakima, WA	222581	62.6	43.25	0.34955	15.6	1.4	369.6
56003	1.34189	49.5	107.056060080689	Lung	bivariate	Big Horn, WY	11461	49.5	46.6	1.34189	20.3	0.2	355.1
56005	1.38626	75.4	186.866262337534	Lung	bivariate	Campbell, WY	34919	75.4	50.3	1.38626	17.6	0.3	383.9
56007	2.14516	54.7	125.055987461617	Lung	bivariate	Carbon, WY	15639	54.7	49.7	2.14516	17.9	0.8	369.1
56009	1.55684	71.4	109.781601372908	Lung	bivariate	Converse, WY	12052	71.4	51.55	1.55684	17.6	0.3	454.5
56013	1.74152	48.8	191.436673602526	Lung	bivariate	Fremont, WY	36648	48.8	54.3	1.74152	22.8	0.2	369.3
56015	1.29468	52.4	111.973211081937	Lung	bivariate	Goshen, WY	12538	52.4	49.85	1.29468	19.6	0.3	407.3
56021	1.84803	61.7	285.669389329694	Lung	bivariate	Laramie, WY	81607	61.7	46.75	1.84803	22.9	3.2	419
56023	2.03552	25.6	120.718681238655	Lung	bivariate	Lincoln, WY	14573	25.6	49.9	2.03552	19.3	0.2	383.9
56025	1.6222	66.4	257.939915484207	Lung	bivariate	Natrona, WY	66533	66.4	53.3	1.6222	20.9	1.1	391.2
56029	1.6262	42.3	160.580198032011	Lung	bivariate	Park, WY	25786	42.3	49.25	1.6262	27.7	0.2	401.2
56033	1.28398	56	162.972390299707	Lung	bivariate	Sheridan, WY	26560	56	50	1.28398	23.1	0.3	421.8
56037	1.95832	39.1	193.940712590214	Lung	bivariate	Sweetwater, WY	37613	39.1	48.9	1.95832	17.1	1	368.4
56039	2.12341	36.7	135.096261976414	Lung	bivariate	Teton, WY	18251	36.7	46.6	2.12341	49.7	0.2	411.4
56041	2.11772	32.1	140.506227619988	Lung	bivariate	Uinta, WY	19742	32.1	47.5	2.11772	17.4	0.2	286.3
