cancer	predictor	coef	coef_lower	coef_upper	zcoef	zcoef_lower	zcoef_upper	pval	mlog_pval	half_zci
lung	(Intercept)	-14.8540774829918	-28.2075888236039	-1.50056614237976	3.86446647449784e-16	-0.0682293380331067	0.0682293380331075	0.0293905042480558	1.53179296274435	0.0682293380331071
lung	elevation	-7.23410336559971	-8.79624618059887	-5.67196055060056	-0.354751971504714	-0.431357628817842	-0.278146314191587	2.68895705165344e-17	16.5704161343252	0.0766056573131276
lung	black	0.670906770803235	0.332136451514069	1.0096770900924	0.148946139270269	0.073736686402374	0.224155592138164	0.000123714033604623	3.90758103301958	0.0752094528678951
lung	education	-0.43340219361806	-0.541799409301109	-0.325004977935011	-0.303981290117252	-0.380009344321079	-0.227953235913425	1.07771461868691e-13	12.9674962261046	0.0760280542038269
lung	no_lung	0.0511245088030027	0.0174788562339823	0.0847701613720231	0.121633937567614	0.0415851840476291	0.201682691087598	0.00304436693555888	2.51650300351632	0.0800487535199845
lung	smoking	1.44025690210775	1.24962254895275	1.63089125526275	0.585479432787211	0.507984582534033	0.662974283040389	3.46072278191311e-36	35.4608331880816	0.0774948502531781
breast	(Intercept)	14.4491622917624	-3.2860396438231	32.1843642273479	1.71384637607241e-16	-0.0841462139615312	0.0841462139615315	0.109820962829755	0.959314753034068	0.0841462139615314
breast	elevation	-3.62997799041869	-6.23155972344631	-1.02839625739108	-0.153685500829005	-0.263830904642272	-0.0435400970157374	0.00644342875243606	2.19088296928662	0.110145403813267
breast	metro	4.582085336532	0.977654592031719	8.18651608103229	0.131272836584463	0.0280089701674924	0.234536703001433	0.0129410054968374	1.88803197832243	0.103263866416971
breast	white	0.212677468458096	0.073218345811466	0.352136591104727	0.1552537087957	0.0534491021617354	0.257058315429664	0.00294811979524036	2.53045487313497	0.101804606633964
breast	education	0.584687493177947	0.39188066461594	0.777494321739954	0.356788145530843	0.23913351530364	0.474442775758046	8.45459857671037e-09	8.07290700782475	0.117654630227203
breast	income	0.22112587534205	0.0514840633699007	0.3907676873142	0.157202327996077	0.0366009387364847	0.277803717255669	0.0108469815520728	1.96469109846584	0.120601389259592
breast	no_breast	0.219558222005608	0.162476433733253	0.276640010277963	0.392623280657707	0.290547217312977	0.494699344002436	7.97615331789501e-13	12.0982065065926	0.102076063344729
colorectal	(Intercept)	12.0128562778635	3.73636919549056	20.2893433602364	5.75397471584435e-16	-0.103699582548629	0.10369958254863	0.00462306293509661	2.33507019434493	0.103699582548629
colorectal	elevation	0.648047572798086	-0.422060913470045	1.71815605906622	0.0761258701623066	-0.0495793143097157	0.201831054634329	0.234051417847735	0.630688723638944	0.125705184472022
colorectal	black	0.277033271599112	0.0595764239538488	0.494490119244375	0.148166912271101	0.0318635185241199	0.264470306018082	0.0127496491547371	1.89450176599537	0.116303393746981
colorectal	education	-0.230528538533714	-0.295346429293748	-0.165710647773679	-0.390308299148188	-0.500051591053985	-0.280565007242392	2.51421855608833e-11	10.5995969726415	0.109743291905797
colorectal	no_colorectal	0.0704052702698096	0.0523397122208549	0.0884708283187643	0.453115160604406	0.336848605481608	0.569381715727204	4.23207056167178e-13	12.3734470998837	0.116266555122798
colorectal	meat	0.0939073330248589	0.0430686788711075	0.14474598717861	0.218910079556421	0.100398633571761	0.337421525541082	0.000335991467996772	3.47367175073208	0.118511445984661
prostate	(Intercept)	43.4634433709272	11.6477913992674	75.2790953425869	-3.99838159275666e-17	-0.11104911447055	0.11104911447055	0.00761151924859801	2.11852865000595	0.11104911447055
prostate	elevation	4.70641265848052	-0.0474010001074143	9.46022631706846	0.13979262927379	-0.00140793230769526	0.280993190855275	0.0523109422001696	1.28140745759349	0.141200561581485
prostate	white	0.415446169784762	0.172870868427235	0.658021471142288	0.209807693622905	0.0873028585583007	0.332312528687509	0.000860214471513779	3.06539325552093	0.122504835064604
prostate	education	0.74939061114051	0.478083514273909	1.02069770800711	0.316657022893882	0.202015477741602	0.431298568046163	1.25479740481533e-07	6.9014263881856	0.114641545152281
prostate	no_prostate	0.134047410267367	0.0591740116448328	0.2089208088899	0.244515744914759	0.107939254537418	0.381092235292101	0.000500816727123213	3.30032117425451	0.136576490377341
