fips	Elevation	Incidence	weight	Cancer
35028	2.16274	24.5	135.436331905438	Lung
35029	1.32874	53	158.16447135814	Lung
35035	1.47471	58.3	249.595673039418	Lung
35037	1.26037	85.5	100.772019926168	Lung
35039	2.03226	27.5	202.953196574974	Lung
35041	1.23935	67.8	134.231143927183	Lung
35043	1.69457	44.8	299.846627461441	Lung
35047	2.05931	38.5	173.568430309201	Lung
35049	2.04993	37.8	359.571967761671	Lung
35051	1.47006	60.2	115.195486022674	Lung
35053	1.61397	49	134.454453254624	Lung
35055	2.39819	35.9	173.144448366097	Lung
35057	1.9708	55.2	130.042300810159	Lung
35061	1.51823	57.1	257.21975040809	Lung
41001	1.17598	65.8	129.387016350173	Lung
41003	0.1047	58	279.558580623096	Lung
41005	0.12243	58.6	500	Lung
41007	0.0806	75.4	188.759105740624	Lung
41009	0.12409	86.1	208.710325571113	Lung
41011	0.07516	79.6	250.557378658063	Lung
41013	1.00498	68.9	138.499097469984	Lung
41015	0.14325	74.1	145.385693931693	Lung
41017	1.09946	58.5	339.657180109592	Lung
41019	0.26616	78.2	316.85801236516	Lung
41027	0.36833	61.2	142.867071083578	Lung
41029	0.52203	65	425.756972931742	Lung
41031	0.80805	63.4	137.873130087048	Lung
41033	0.43704	78.1	275.183575091247	Lung
41035	1.31484	72.6	252.537125983488	Lung
41039	0.17643	65.2	500	Lung
41041	0.10697	73.9	210.900450449969	Lung
41043	0.14357	72.8	321.043610744709	Lung
41045	0.75439	57.1	177.806074136965	Lung
41047	0.08907	65.6	500	Lung
41049	0.30439	73.3	104.857045542968	Lung
41051	0.07789	71.7	500	Lung
41053	0.10471	55	249.759884689275	Lung
41057	0.17886	75.4	157.702251093635	Lung
41059	0.31283	56.6	265.608734796128	Lung
41061	0.95034	52.3	156.620560591514	Lung
41065	0.27752	86.8	154.243314279744	Lung
41067	0.07951	52.3	500	Lung
41071	0.08127	68.1	291.533874532618	Lung
49003	1.38951	24.6	206.748639656952	Lung
49005	1.43827	12	302.309444113147	Lung
49007	1.86423	40.5	142.90556322271	Lung
49011	1.41133	21.1	488.870125902575	Lung
49013	1.80322	45.3	119.879105769104	Lung
49019	1.43217	39.5	109.238271681678	Lung
49021	1.86774	36	183.790641763937	Lung
49035	1.38006	30.9	500	Lung
49039	1.98589	22.9	150.874119715742	Lung
49041	1.8541	39	137.266164804004	Lung
49043	2.16598	18.9	172.441294358399	Lung
49045	1.4913	38.7	201.829135656872	Lung
49047	1.72981	47	158.820653568735	Lung
49049	1.47365	17	500	Lung
49051	1.92202	31.3	123.349098091555	Lung
49053	1.00458	32.1	300.589420971531	Lung
49057	1.38761	32.3	443.320425877265	Lung
53001	0.37034	46.5	128.171759760097	Lung
53003	0.37187	66.8	143.356199726416	Lung
53005	0.1679	64.9	377.458607002145	Lung
53007	0.48124	51.4	258.10075552001	Lung
53009	0.14544	65.8	256.353271873015	Lung
53011	0.08758	57.8	500	Lung
53015	0.08174	80.2	304.873744359858	Lung
53017	0.36223	52.4	180.563008393192	Lung
53021	0.15124	62.8	222.141846575561	Lung
53025	0.3723	59.7	273.309348541172	Lung
53027	0.06532	101	259.218054926735	Lung
53029	0.05718	54.7	267.503271008038	Lung
53031	0.04286	64.9	161.099348229594	Lung
